Name,NSE Code,Industry,Sales,Sales preceding 12months,Net profit,Net profit preceding 12months,EBIT,EBIT last year,EBIDT last year,EPS,OPM,NPM last year,Return on capital employed,Market Capitalization,Sales Growth %,Net Profit Growth %,Market Cap to Sales,Market Cap to Net Profit,Profitability Category
Aditya Vision,__NA__,Trading,1743.29,1673.89,77.07,76.0,145.43,145.43,174.01,60.12,9.61,4.42,21.39,5841.22,4.14603110120736,1.4078947368420964,3.3506874931881674,75.79109900090828,Low Profitability
Adjia Tech,__NA__,Computers - Software - Medium / Small,0.33,,0.07,,0.08,0.08,0.27,0.8,81.82,21.21,3.65,4.0,,,12.121212121212121,57.14285714285714,High Profitability
Ador Fontech,__NA__,Electrodes - Welding Equipment,210.13,211.88,23.74,22.07,31.55,31.55,34.82,6.78,13.11,11.3,24.37,501.38,-0.8259392108740796,7.56683280471227,2.386046732974825,21.119629317607416,Moderate Profitability
Ador Multi Prod.,__NA__,Personal Care - Indian,6.73,8.51,-4.02,-14.01,-2.65,-2.65,-2.12,-8.6,-55.42,-55.27,-37.64,16.15,-20.91656874265569,-71.30620985010707,2.3997028231797914,-4.017412935323383,Loss-making
Ador Welding,ADORWELD,Electrodes - Welding Equipment,883.83,872.61,63.19,67.07,89.57,89.57,102.99,46.47,10.17,7.15,23.98,1919.91,1.2857977790765664,-5.785000745489781,2.172261634024643,30.38313024212692,Moderate Profitability
Advait Infratech,__NA__,Construction,208.85,189.98,21.88,18.16,36.37,36.37,39.01,21.45,17.3,10.48,37.86,1735.31,9.932624486788086,20.48458149779735,8.308881972707685,79.31032906764169,Moderate Profitability
Advance Meter.,__NA__,Electric Equipment,16.52,18.45,-2.01,-2.14,-1.08,-1.08,3.59,-1.25,-23.49,-12.17,-0.96,61.64,-10.460704607046068,-6.074766355140202,3.7312348668280872,-30.66666666666667,Loss-making
Advance Petroch.,__NA__,Chemicals,35.19,32.17,0.22,-0.4,1.19,1.19,1.89,2.44,5.2,0.63,10.17,25.92,9.387628225054385,-154.99999999999997,0.7365728900255756,117.81818181818183,Low Profitability
Advanced Enzyme,ADVENZYMES,Pharmaceuticals - Indian - Bulk Drugs & Formln,623.87,604.77,136.96,139.19,205.88,205.88,241.12,11.92,32.77,23.65,15.05,4253.24,3.158225441076777,-1.6021265895538401,6.817510058185198,31.054614485981304,High Profitability
Advani Hotels.,ADVANIHOTR,Hotels,105.42,103.3,24.96,25.3,33.61,33.61,36.92,2.7,32.16,23.68,48.61,656.12,2.0522749273959384,-1.3438735177865606,6.2238664390058815,26.286858974358974,High Profitability
Advik Capital,__NA__,Finance & Investments,839.59,748.65,6.36,5.95,16.54,16.54,17.06,0.15,1.02,0.76,10.11,110.47,12.147198290255803,6.890756302521011,0.13157612644266845,17.36949685534591,Low Profitability
Aegis Logistics,AEGISLOG,Trading,7045.92,7363.22,672.21,594.24,965.36,965.36,1100.62,16.22,13.1,9.42,14.74,30768.68,-4.309256004845709,13.120961227786756,4.366878988123624,45.77242230850478,Moderate Profitability
Aeonx Digital,__NA__,Trading,34.31,32.0,2.73,1.22,3.05,3.05,4.0,5.93,2.07,5.54,6.61,62.1,7.218750000000007,123.77049180327869,1.809967939376275,22.747252747252748,Moderate Profitability
Aeroflex,AEROFLEX,Steel - Medium / Small,317.84,310.16,41.75,44.22,59.91,59.91,66.17,3.23,19.61,13.14,26.48,2091.78,2.4761413464018407,-5.5857078245137926,6.581235841933049,50.102514970059886,Moderate Profitability
Aether Industri.,AETHER,Chemicals,598.17,664.42,82.49,121.48,131.79,131.79,171.46,6.22,22.11,15.52,7.52,12214.51,-9.9711026158153,-32.09581824168588,20.419797047662037,148.0726148624076,High Profitability
Affle India,AFFLE,Computers - Software - Medium / Small,1842.81,1692.41,297.26,272.15,345.66,345.66,417.19,21.2,19.53,16.13,16.25,19135.75,8.886735483718477,9.226529487415034,10.384005947438967,64.37378052882998,High Profitability
Affordable Robo.,__NA__,Engineering,150.07,,6.07,,11.57,11.57,12.85,5.4,8.49,4.04,12.65,628.65,,,4.189045112280936,103.56672158154859,Low Profitability
