Name,NSE Code,Industry,Sales,Sales preceding 12months,Net profit,Net profit preceding 12months,EBIT,EBIT last year,EBIDT last year,EPS,OPM,NPM last year,Return on capital employed,Market Capitalization,Sales Growth %,Net Profit Growth %,Market Cap to Sales,Market Cap to Net Profit,Profitability Category
Coromandel Inter,COROMANDEL,Fertilizers,22058.39,23621.49,1640.64,1723.17,2375.02,2375.02,2603.58,55.78,10.75,7.44,26.04,47311.52,-6.617279434955213,-4.7894287853200765,2.1448310597464273,28.83723425004876,Moderate Profitability
COSCO (India),__NA__,Trading,176.55,168.67,3.21,2.36,9.92,9.92,12.3,7.71,6.43,1.82,9.57,133.96,4.671844429951992,36.016949152542374,0.7587652223166241,41.73208722741433,Low Profitability
Cosmic CRF,__NA__,Steel - Medium / Small,253.48,,12.75,,19.04,19.04,22.61,15.55,8.86,5.03,39.83,1332.13,,,5.2553653148177375,104.4807843137255,Moderate Profitability
Cosmo Ferrites,__NA__,Electronics - Components,97.76,96.01,-1.98,-1.31,5.27,5.27,10.13,-1.65,7.35,-1.66,5.12,217.64,1.8227267992917402,51.14503816793893,2.226268412438625,-109.91919191919192,Loss-making
Cosmo First,COSMOFIRST,Packaging,2587.34,2661.08,62.19,78.63,161.75,161.75,251.23,23.69,7.08,2.4,6.99,2089.33,-2.7710553609812476,-20.908050362457075,0.8075204650335865,33.59591574208072,Low Profitability
Cospower Engine.,__NA__,Electric Equipment,22.29,,0.11,,2.07,2.07,3.84,0.73,14.49,0.49,8.39,41.11,,,1.8443248093315388,373.72727272727275,Low Profitability
COSYN,__NA__,Computers - Software - Medium / Small,15.5,14.35,0.04,-0.77,0.37,0.37,1.14,0.05,5.87,0.26,1.24,31.8,8.013937282229968,-105.1948051948052,2.0516129032258066,795.0,Low Profitability
Country Club Hos,CCHHL,Hotels,52.36,53.68,-4.86,16.69,-0.02,-0.02,12.63,-0.3,-6.95,-9.28,-0.01,299.63,-2.4590163934426235,-129.11923307369682,5.722498090145149,-61.65226337448559,Loss-making
Country Condo,COUNCODOS,Construction,25.32,25.36,1.61,1.78,2.08,2.08,2.24,0.21,5.57,6.36,8.16,44.3,-0.1577287066246023,-9.550561797752804,1.7496050552922588,27.515527950310556,Moderate Profitability
Craftsman Auto,CRAFTSMAN,Auto Ancillaries,4451.73,4326.76,337.33,347.03,618.16,618.16,895.85,144.11,19.74,7.56,19.99,13295.44,2.888304412539622,-2.7951473935970923,2.9865782516010633,39.41374914771885,Moderate Profitability
Crane Infra,__NA__,Construction,3.53,3.29,1.45,1.14,1.87,1.87,2.0,2.0,56.09,41.08,6.44,21.21,7.294832826747713,27.192982456140356,6.008498583569406,14.627586206896552,High Profitability
Cranex,__NA__,Engineering,62.11,57.05,1.52,0.98,3.62,3.62,3.93,2.53,4.7,2.45,10.1,68.4,8.869412795793169,55.102040816326536,1.1012719368861699,45.0,Low Profitability
Cravatex,__NA__,Trading,202.63,235.69,4.83,8.16,6.56,6.56,8.44,18.69,-3.78,2.38,6.87,105.78,-14.026899741185456,-40.80882352941176,0.5220352366382076,21.900621118012424,Low Profitability
Crayons Advertis,CRAYONS,Miscellaneous,201.55,,16.9,,23.68,23.68,25.07,6.92,10.21,8.39,36.5,314.9,,,1.5623914661374347,18.633136094674555,Moderate Profitability
Creative Casting,__NA__,Castings & Forgings,52.26,53.97,5.07,4.48,6.57,6.57,7.2,39.0,12.04,9.7,17.76,107.58,-3.168426903835466,13.169642857142852,2.058553386911596,21.218934911242602,Moderate Profitability
Creative Graphic,CGRAPHICS,Engineering,131.59,,10.81,,18.06,18.06,22.5,6.04,14.14,8.21,41.97,416.13,,,3.1623223649213466,38.49491211840888,Moderate Profitability
Creative Newtech,CREATIVE,Trading,1713.12,1806.1,48.25,34.34,67.88,67.88,69.21,34.19,2.42,2.82,26.48,1085.35,-5.1481091855379,40.50669772859637,0.6335516484542822,22.494300518134715,Low Profitability
Credent Global,__NA__,Finance & Investments,12.37,23.39,1.34,4.09,2.5,2.5,3.52,1.3,25.22,10.83,3.12,129.73,-47.11415134672938,-67.23716381418093,10.487469684721098,96.81343283582088,Moderate Profitability
CreditAcc. Gram.,CREDITACC,Finance & Investments,5166.67,4774.58,1445.93,1345.47,3671.62,3671.62,3722.77,90.72,71.94,27.99,14.74,22347.57,8.21203121531109,7.466535857358397,4.32533333849462,15.45549922887,High Profitability
Credo Brands,MUFTI,Trading,567.33,567.04,59.16,73.71,102.91,102.91,165.14,9.17,28.3,10.43,19.27,1063.96,0.05114277652371567,-19.739519739519736,1.875381171452241,17.984448951994594,Moderate Profitability
Cressanda Railwa,__NA__,Trading,154.18,75.23,12.81,9.28,12.41,6.8,7.04,0.3,2.96,5.86,11.1,494.17,104.94483583676724,38.03879310344829,3.2051498248800105,38.576893052302886,Moderate Profitability
Crest Ventures,CREST,Finance & Investments,183.61,174.03,62.08,62.55,104.78,104.78,109.39,21.82,59.36,33.81,8.41,1095.29,5.504798023329318,-0.751398880895282,5.965306900495615,17.64320231958763,High Profitability
Crestchem,__NA__,Chemicals,21.26,18.5,2.15,1.56,2.99,2.99,3.04,7.17,13.08,10.11,79.73,37.65,14.918918918918928,37.82051282051281,1.7709313264346187,17.511627906976745,Moderate Profitability
CRISIL,CRISIL,Miscellaneous,3162.31,3139.52,650.41,658.44,872.74,850.43,954.21,88.96,27.1,20.48,41.36,32008.11,0.7259071450412791,-1.2195492375918968,10.121749607091019,49.212204609400224,High Profitability
Croissance Ltd,__NA__,Construction,0.66,2.39,0.07,0.42,0.09,0.09,0.09,0.0,12.12,10.61,1.11,29.26,-72.38493723849372,-83.33333333333333,44.333333333333336,418.0,Moderate Profitability
Crompton Gr. Con,CROMPTON,Electric Equipment,7312.81,7142.77,441.78,439.9,652.26,652.26,781.08,6.84,9.76,6.04,15.82,26353.21,2.380589043186326,0.4273698567856321,3.60370500532627,59.65233826791616,Moderate Profitability
Crop Life Scienc,CLSL,Pesticides / Agrochemicals - Indian,198.61,,6.04,,11.51,11.51,14.72,3.52,6.35,3.04,17.04,77.65,,,0.39096722219425006,12.855960264900663,Low Profitability
Cropster Agro,__NA__,Packaging,60.71,33.26,11.08,5.35,11.08,11.08,11.09,4.43,18.15,18.25,37.57,1057.38,82.53156945279616,107.10280373831777,17.416900016471754,95.43140794223828,High Profitability
Crown Lifters,CROWN,Miscellaneous,28.1,23.63,5.51,5.95,9.01,9.01,15.9,4.91,53.84,19.61,18.38,354.1,18.916631400761755,-7.394957983193285,12.601423487544483,64.26497277676951,High Profitability
CRP Risk Mgt.,__NA__,Miscellaneous,13.05,,0.04,,0.06,0.06,0.95,0.02,7.28,0.31,0.07,20.86,,,1.5984674329501913,521.5,Low Profitability
CSB Bank,CSBBANK,Banks - Private Sector,2927.54,2769.15,566.82,571.71,2212.57,2212.57,2212.57,32.67,55.62,19.36,7.77,6536.95,5.719805716555617,-0.8553287505903319,2.232915690306537,11.532673511873256,High Profitability
CSL Finance,CSLFINANCE,Finance & Investments,165.65,152.59,63.36,56.69,128.53,128.53,129.91,27.81,77.86,38.25,14.68,1032.63,8.558883281997511,11.765743517375201,6.233806217929369,16.297821969696972,High Profitability
Cubex Tubings,CUBEXTUB,Mining / Minerals / Metals,222.52,231.82,3.99,4.26,7.0,7.0,8.35,2.79,3.75,1.79,8.65,137.3,-4.011733241307904,-6.338028169014074,0.617023188926838,34.41102756892231,Low Profitability
Cubical Finan,__NA__,Finance & Investments,2.73,2.6,1.16,0.24,1.29,1.29,1.29,0.18,47.25,42.49,9.12,16.87,4.999999999999996,383.3333333333333,6.17948717948718,14.543103448275865,High Profitability
Cummins India,CUMMINSIND,Engines,8958.6,8568.45,1660.62,1417.6,2171.53,2171.53,2329.17,59.91,19.66,18.55,36.12,110099.7,4.553332282968327,17.14305869074492,12.289833232871207,66.30035769772736,High Profitability
Cupid,CUPID,Miscellaneous,171.09,153.2,39.85,24.48,54.39,54.39,57.32,1.49,29.28,23.29,22.36,2436.62,11.677545691906015,62.7859477124183,14.241744111286456,61.144792973651185,High Profitability
CWD,__NA__,Electronics - Components,21.26,,1.13,,2.68,2.68,5.6,3.13,26.34,5.32,10.34,249.19,,,11.721072436500469,220.52212389380531,Moderate Profitability
Cybele Industrie,__NA__,Cables - Power,35.48,37.11,-0.07,-1.59,0.95,0.95,1.74,-0.07,2.34,-0.2,1.56,44.62,-4.392347076259775,-95.59748427672956,1.2576099210823,-637.4285714285713,Loss-making
Cyber Media Ind,CYBERMEDIA,Entertainment / Electronic Media Software,101.8,99.12,3.4,3.09,7.28,7.28,7.7,2.17,5.16,4.25,55.83,40.56,2.703793381759476,10.032362459546928,0.3984282907662083,11.929411764705883,Low Profitability
Cyber Media Res.,CMRSL,Computers - Software - Medium / Small,87.33,84.23,3.59,2.84,6.52,6.52,6.8,12.26,6.92,4.75,29.99,50.42,3.680398907752575,26.408450704225356,0.577350280545059,14.04456824512535,Low Profitability
Cybertech Sys.,CYBERTECH,Computers - Software - Medium / Small,221.74,219.34,22.74,21.03,32.16,32.16,39.7,7.31,11.47,10.26,16.68,570.34,1.094191665906814,8.131241084165465,2.572111481915757,25.08091468777485,Moderate Profitability
Cyient,CYIENT,Computers - Software - Medium / Small,7147.2,7037.8,702.8,669.1,1097.0,1097.0,1363.7,61.57,18.23,10.48,21.88,20734.65,1.5544630424280261,5.036616350321317,2.9010871390194763,29.502916903813322,Moderate Profitability
Cyient DLM,CYIENTDLM,Electronics - Components,1191.87,1107.39,61.2,51.04,116.53,116.53,138.84,7.72,9.31,5.13,14.08,5906.32,7.628748679327046,19.90595611285267,4.9555068925302255,96.50849673202613,Moderate Profitability
D & H India,__NA__,Electrodes - Welding Equipment,157.82,151.09,2.7,3.08,7.6,7.6,9.68,3.3,6.02,1.71,10.45,84.3,4.454298762327083,-12.337662337662334,0.5341528323406413,31.222222222222218,Low Profitability
D B Corp,DBCORP,Entertainment / Electronic Media Software,2402.09,2315.91,425.52,344.03,589.27,589.27,703.3,23.89,25.95,17.71,25.43,6082.32,3.721215418561183,23.68688777141529,2.53209496729931,14.29385222786238,High Profitability
D P Wires,DPWIRES,Steel - Medium / Small,1003.08,1180.07,36.32,41.55,51.7,51.7,55.75,23.43,5.03,3.62,24.57,699.99,-14.998262814917751,-12.58724428399518,0.6978406507955497,19.27285242290749,Low Profitability
D-Link India,DLINKINDIA,Trading,1227.43,1204.58,90.74,85.87,122.62,122.62,128.54,25.56,9.42,7.39,30.93,1727.48,1.8969267296485195,5.671363689297764,1.4073959411127315,19.037690103592684,Moderate Profitability
D.K. Enterprises,DKEGL,Packaging,143.92,,4.64,,7.73,7.73,9.04,6.18,4.82,3.22,24.08,54.06,,,0.37562534741523074,11.650862068965518,Low Profitability
D.P. Abhushan,DPABHUSHAN,Trading,2339.96,2167.83,61.86,50.14,95.0,95.0,100.59,27.8,4.28,2.64,26.8,2996.85,7.940198262778914,23.374551256481848,1.2807270209747175,48.44568380213385,Low Profitability
Dabur India,DABUR,Personal Care - Indian,12404.01,12267.17,1811.31,1762.85,2482.92,2482.92,2882.13,10.4,19.35,14.6,22.28,107854.01,1.1154977064799798,2.748957653799248,8.695092151650957,59.54475490114889,Moderate Profitability
Dai-ichi Karkari,__NA__,Chemicals,131.58,140.64,13.9,13.38,0.85,0.85,10.08,18.65,4.78,-1.37,0.42,458.19,-6.441979522184282,3.8863976083706993,3.4822161422708615,32.96330935251798,Loss-making
Dalal Street Inv,__NA__,Finance & Investments,0.62,0.89,0.12,0.35,0.18,0.18,0.23,3.81,-45.16,19.35,2.52,14.5,-30.337078651685395,-65.71428571428571,23.387096774193548,120.83333333333334,High Profitability
Dalmia Bharat,DALMIASUG,Sugar,2898.8,3298.37,271.72,302.51,369.94,369.94,496.68,33.59,14.93,8.28,9.84,3354.57,-12.114165481737942,-10.178175928068482,1.1572271284669517,12.345686736346238,Moderate Profitability
Dalmia BharatLtd,DALBHARAT,Cement - South India,14691.0,14292.0,853.0,1142.0,1373.0,1373.0,2871.0,44.04,17.96,5.39,6.71,34357.79,2.7917716204869856,-25.30647985989492,2.3386964808386086,40.27876905041032,Moderate Profitability
Damodar Indust.,DAMODARIND,Textiles - Spinning - Synthetic / Blended,715.38,754.44,5.22,3.09,35.8,35.8,57.57,2.24,4.52,0.73,8.97,123.49,-5.177350087482113,68.93203883495146,0.17262154379490618,23.657088122605366,Low Profitability
Dangee Dums,DANGEE,Food - Processing - Indian,25.01,24.56,-0.88,-0.91,1.31,1.31,6.14,-0.06,19.03,-3.52,3.27,120.25,1.8322475570032688,-3.2967032967032996,4.808076769292283,-136.64772727272728,Loss-making
Danlaw Tech.,__NA__,Electronics - Components,210.98,197.71,22.23,17.99,32.55,32.55,36.55,45.64,17.19,10.54,40.21,924.16,6.7118506904051305,23.568649249583114,4.3803204095174895,41.57264957264957,Moderate Profitability
Danube Industrie,__NA__,Trading,87.03,85.88,0.97,1.51,2.75,2.75,2.81,0.16,3.18,1.11,9.03,33.12,1.3390777829529643,-35.76158940397351,0.3805584281282316,34.144329896907216,Low Profitability
DAPS Advertising,__NA__,Miscellaneous,20.36,,1.09,,1.5,1.5,1.72,2.11,3.68,5.35,9.93,15.58,,,0.7652259332023575,14.293577981651374,Moderate Profitability
Darshan Orna,__NA__,Trading,20.87,23.37,2.67,2.02,3.18,3.18,3.18,0.53,-1.25,12.79,17.84,21.31,-10.69747539580659,32.17821782178218,1.0210828941063728,7.9812734082397006,Moderate Profitability
Data Infr.Trust,__NA__,Construction,12877.5,12140.2,1119.2,1199.5,3609.5,3609.5,5314.2,4.3,37.59,8.69,7.9,38524.4,6.073211314475867,-6.694456023343055,2.9916055134925257,34.421372408863476,Moderate Profitability
Data Pattern,DATAPATTNS,Electronics - Components,519.8,522.61,181.69,165.95,251.52,251.52,267.65,32.45,42.64,34.95,20.14,16926.76,-0.5376858460419929,9.484784573666772,32.56398614851866,93.1628598161704,High Profitability
Datamatics Glob.,DATAMATICS,Computers - Software - Medium / Small,1549.89,1553.46,197.13,203.46,252.79,252.79,289.05,33.59,15.74,12.72,21.98,3741.71,-0.22980958634274046,-3.1111766440578057,2.4141777803586058,18.980926292294427,Moderate Profitability
Datasoft Applica,__NA__,Computers - Software - Medium / Small,2.43,1.47,0.17,0.23,0.24,0.24,0.26,1.5,9.88,7.0,42.11,6.86,65.30612244897961,-26.08695652173913,2.8230452674897117,40.35294117647059,Moderate Profitability
Daulat Securitie,__NA__,Finance & Investments,5.83,2.57,3.49,1.47,4.68,4.68,4.75,6.98,73.24,59.86,25.21,21.56,126.84824902723737,137.4149659863946,3.6981132075471694,6.177650429799426,High Profitability
Davangere Sugar,DAVANGERE,Sugar,216.53,241.09,12.24,16.25,39.8,39.8,51.76,0.13,20.93,5.65,6.86,806.28,-10.187067070388652,-24.676923076923078,3.723641065903108,65.87254901960785,Moderate Profitability
DB Intl.Stock,DBSTOCKBRO,Finance & Investments,47.26,37.79,8.64,7.56,13.57,13.57,15.56,2.47,32.92,18.28,22.24,165.8,25.05953956073035,14.285714285714299,3.5082522217520107,19.189814814814813,High Profitability
DC Infotech,DCI,Trading,459.63,401.22,11.61,9.56,20.51,20.51,21.07,8.93,4.36,2.53,28.56,304.21,14.558097801704792,21.443514644351453,0.6618584513630529,26.20241171403962,Low Profitability
DCB Bank,DCBBANK,Banks - Private Sector,5362.04,5096.72,535.97,522.51,4155.95,4155.95,4250.39,17.13,70.43,9.99,7.52,4435.11,5.20570092137688,2.576027253066934,0.8271310918978597,8.274922103849095,Moderate Profitability
DCG Cables,DCG,Cables - Power,101.1,,8.85,,12.23,12.23,13.27,6.73,13.06,8.78,36.56,263.08,,,2.6021760633036597,29.726553672316385,Moderate Profitability
DCM,DCM,Castings & Forgings,70.84,71.44,5.2,-3.58,9.65,9.65,14.3,2.78,4.67,7.34,50.79,146.29,-0.839865621500552,-245.25139664804473,2.065076228119706,28.132692307692306,Moderate Profitability
DCM Nouvelle,DCMNVL,Textiles - Cotton/Blended,1080.94,1053.14,-4.1,-7.69,22.13,22.13,45.24,-1.75,3.57,-0.38,3.44,439.48,2.639725012818804,-46.684005201560474,0.4065720576535238,-107.19024390243904,Loss-making
DCM Shriram,DCMSHRIRAM,Diversified - Mega,10922.48,11243.23,447.1,515.97,744.8,744.8,1047.73,28.67,9.07,3.84,8.99,15546.69,-2.852827879532839,-13.347675252437158,1.423366305088222,34.77228807872959,Low Profitability
DCM Shriram Inds,DCMSRIND,Sugar,2082.9,2105.93,115.39,108.27,208.35,208.35,247.27,13.26,10.78,5.54,16.21,1901.2,-1.093578608975595,6.576152212062442,0.912765855297902,16.476297772770604,Moderate Profitability
DCW,DCW,Petrochemicals,1871.59,1838.04,15.66,35.68,100.0,100.0,193.79,0.53,9.38,0.87,6.66,1646.36,1.8253139213510021,-56.109865470852014,0.8796584722081225,105.13154533844188,Low Profitability
DCX Systems,DCXINDIA,Electronics - Components,1423.4,1187.75,68.1,83.24,113.8,113.8,116.28,6.11,4.92,4.78,9.25,4165.33,19.840033677120612,-18.188370975492553,2.9263242939440772,61.16490455212922,Low Profitability
DDev Plastiks,__NA__,Chemicals,2431.24,2501.21,181.67,168.44,267.7,267.7,281.9,17.56,10.62,7.47,41.94,4255.49,-2.7974460361185285,7.85442887675136,1.7503372764515228,23.424285792921232,Moderate Profitability
De Neers Tools,DENEERS,Trading,109.8,,8.66,,15.64,15.64,16.48,10.06,13.38,7.89,16.58,163.52,,,1.4892531876138435,18.882217090069286,Moderate Profitability
DE Nora India,DENORA,Engineering,73.8,85.25,19.01,25.67,25.22,25.22,26.37,35.81,28.69,25.76,22.79,892.07,-13.431085043988272,-25.944682508765094,12.087669376693768,46.92635455023672,High Profitability
Debock Industrie,DIL,Trading,98.26,98.5,8.07,-2.48,7.6,7.6,8.08,0.5,8.1,4.05,4.9,129.22,-0.24365482233502017,-425.4032258064516,1.315082434357826,16.012391573729865,Low Profitability
Deccan Cements,DECCANCE,Cement - South India,799.43,772.13,37.26,44.16,82.18,82.18,109.81,26.6,11.73,6.08,7.5,988.93,3.535674044526175,-15.624999999999996,1.2370438937743142,26.541331186258724,Moderate Profitability
Deccan Healthcar,__NA__,Food - Processing - Indian,59.73,59.61,1.52,1.7,2.3,2.3,3.77,0.75,6.29,2.54,2.55,76.43,0.20130850528434396,-10.588235294117645,1.2795914950611085,50.28289473684211,Low Profitability
Decillion Financ,__NA__,Finance & Investments,1.0,0.98,-0.03,-0.04,0.02,0.02,0.02,-0.09,2.0,-3.0,0.16,11.03,2.040816326530614,-25.000000000000007,11.03,-367.6666666666667,Loss-making
Decipher Labs,__NA__,Pharmaceuticals - Indian - Formulations,35.88,35.07,-1.68,-7.15,-0.99,-0.99,-0.54,-1.66,-2.68,-4.68,-4.3,17.96,2.3096663815226752,-76.5034965034965,0.5005574136008919,-10.690476190476192,Loss-making
Deco-Mica,__NA__,Miscellaneous,77.27,68.54,2.31,1.67,5.82,5.82,7.09,5.5,8.52,2.99,13.45,42.59,12.737087831922949,38.323353293413184,0.5511841594409215,18.437229437229437,Low Profitability
Decorous Investm,__NA__,Miscellaneous,0.34,0.18,0.14,0.1,0.19,0.19,0.19,0.41,-8.82,41.18,5.14,3.04,88.8888888888889,40.00000000000001,8.941176470588236,21.71428571428571,High Profitability
DEE Development,DEEDEV,Steel - Medium / Small,595.5,,12.97,,52.74,52.74,90.47,12.23,12.36,1.98,7.08,2190.75,,,3.6788413098236776,168.90902081727063,Low Profitability
Deem Roll,DEEM,Castings & Forgings,100.83,,7.81,,12.51,12.51,14.28,9.37,13.57,7.75,19.13,86.12,,,0.8541108796985025,11.026888604353394,Moderate Profitability
Deep Diamond,__NA__,Diamond Cutting / Jewellery,2.56,,0.4,,0.82,0.82,0.83,0.12,-10.16,15.62,,19.36,,,7.5625,48.4,High Profitability
Deep Industries,DEEPINDS,Oil Drilling / Allied Services,426.99,410.79,125.16,160.73,160.89,160.89,195.26,19.35,39.0,29.06,10.26,1864.64,3.9436208281603715,-22.130280594786285,4.366940677767629,14.898050495365933,High Profitability
Deep Polymers,__NA__,Plastics Products,105.28,107.42,7.12,8.78,11.08,11.08,14.6,2.94,11.87,6.76,9.49,194.64,-1.9921802271457834,-18.906605922551243,1.8487841945288752,27.337078651685392,Moderate Profitability
Deepak,__NA__,Dyes And Pigments,50.4,,6.63,,8.9,8.9,9.66,6.1,16.83,13.15,52.11,86.91,,,1.724404761904762,13.108597285067873,Moderate Profitability
Deepak Fertiliz.,DEEPAKFERT,Chemicals,8676.09,9385.35,457.23,494.97,1075.72,1075.72,1409.45,35.05,14.83,5.27,11.64,8742.57,-7.557096964950697,-7.6247045275471255,1.007662437803204,19.120726986418212,Moderate Profitability
Deepak Nitrite,DEEPAKNTR,Chemicals,7681.83,7516.98,810.89,790.89,1033.76,1033.76,1199.42,59.45,14.62,9.79,22.3,34808.16,2.1930349688305726,2.5287966721035797,4.531232792186238,42.92587157320969,Moderate Profitability
Deepak Spinners,__NA__,Textiles - Spinning - Synthetic / Blended,470.98,470.21,1.3,10.21,5.97,5.97,22.67,1.81,4.22,0.28,2.12,156.01,0.16375661938283717,-87.26738491674828,0.3312454881311308,120.0076923076923,Low Profitability
Delaplex,DELAPLEX,Computers - Software - Medium / Small,55.35,,10.08,,11.75,11.75,12.1,11.06,19.96,18.21,50.0,195.87,,,3.5387533875338755,19.43154761904762,High Profitability
Delhivery,DELHIVERY,Miscellaneous,8141.54,7925.63,-249.19,-339.38,-133.52,-133.52,588.03,-3.38,1.56,-2.79,-1.31,29567.85,2.724199842788521,-26.574930756084626,3.6317269214423806,-118.6558449375978,Loss-making
Delphi World,DELPHIFX,Finance & Investments,80.66,88.37,15.19,16.91,24.9,24.9,25.8,13.65,11.58,18.83,10.83,240.57,-8.724680321376042,-10.171496156120643,2.9825192164641705,15.83739302172482,High Profitability
Delta Corp,DELTACORP,Recreation / Amusement Parks,925.3,967.83,244.66,223.5,287.48,287.48,351.26,9.12,31.71,22.41,11.84,3518.51,-4.39436677928976,9.467561521252794,3.8025613314600673,14.381222921605495,High Profitability
Delta Manufact.,DELTAMAGNT,Electronics - Components,83.57,82.01,-10.39,-9.91,-5.73,-5.73,-1.24,-9.58,-2.74,-12.41,-7.93,104.69,1.9022070479209705,4.843592330978814,1.252722268756731,-10.076034648700674,Loss-making
Delton Cables,__NA__,Cables - Power,400.86,349.57,14.66,4.01,29.62,29.62,31.18,16.97,7.17,2.43,18.35,413.47,14.67231169722803,265.5860349127182,1.0314573666616775,28.203956343792633,Low Profitability
Den Networks,DEN,Entertainment / Electronic Media Software,1080.75,1105.64,212.79,261.93,247.2,247.2,360.01,4.5,14.16,19.69,7.3,2576.54,-2.2511848341232312,-18.760737601649303,2.384029609067777,12.108369754217774,High Profitability
Denis Chem Lab,__NA__,Pharmaceuticals - Indian - Bulk Drugs & Formln,167.82,167.7,11.15,9.2,15.68,11.55,19.37,8.04,12.66,4.89,16.06,263.66,0.07155635062612078,21.195652173913057,1.5710880705517818,23.64663677130045,Low Profitability
Desh Rakshak,__NA__,Pharmaceuticals - Indian - Formulations,6.01,5.18,0.43,0.42,0.86,0.86,1.3,0.97,21.3,7.15,6.75,4.11,16.023166023166024,2.380952380952383,0.6838602329450916,9.558139534883722,Moderate Profitability
Destiny Logistic,DESTINY,Construction,57.82,,2.12,,3.89,3.89,3.99,1.38,6.78,3.67,13.28,52.7,,,0.911449325492909,24.858490566037737,Low Profitability
Dev Information,DEVIT,Computers - Software - Medium / Small,163.58,164.41,9.48,8.79,13.91,13.91,15.31,4.13,8.42,5.8,22.85,256.54,-0.5048354722948629,7.849829351535852,1.5682846313730285,27.061181434599156,Moderate Profitability
Dev Labtech,__NA__,Diamond Cutting / Jewellery,43.22,,1.34,,1.95,1.95,2.88,1.62,6.64,3.1,9.75,88.08,,,2.037945395650162,65.73134328358208,Low Profitability
Devine Impex,__NA__,Trading,1.76,1.64,0.04,0.05,0.05,0.05,0.05,0.04,2.84,2.27,0.37,7.86,7.317073170731714,-20.000000000000004,4.465909090909091,196.5,Low Profitability
Devyani Intl.,DEVYANI,Hotels,3556.32,3264.21,-9.66,99.18,296.12,296.12,686.82,0.39,18.4,-32.16,8.73,20437.28,8.94887277472957,-109.73986690865094,5.746749448868493,-2115.660455486542,Loss-making
Dhabriya Poly.,__NA__,Plastics Products,211.63,207.34,14.08,13.47,24.64,24.64,31.54,13.01,14.66,6.65,18.87,351.8,2.0690653033664472,4.5285820341499585,1.6623352076737703,24.985795454545457,Moderate Profitability
Dhampur Bio,DBOL,Sugar,1864.44,2204.72,46.49,87.28,97.03,97.03,146.51,7.0,7.51,1.97,5.02,943.69,-15.434159439747441,-46.7346471127406,0.5061519812919697,20.29877392987739,Low Profitability
Dhampur Sugar,DHAMPURSUG,Sugar,2168.91,2278.6,134.52,143.35,234.6,234.6,293.39,20.54,12.28,6.2,12.13,1464.35,-4.813920828578954,-6.1597488664108715,0.6751548012596189,10.885741897115668,Moderate Profitability
Dhampur.Spl.Sug.,__NA__,Sugar,29.23,26.24,0.93,3.49,0.83,0.83,1.16,1.17,2.53,3.39,3.15,72.11,11.39481707317074,-73.35243553008596,2.4669859733150874,77.53763440860214,Low Profitability
Dhanalaxmi Roto,__NA__,Trading,196.6,190.39,13.07,12.59,17.1,17.1,17.4,33.51,4.09,6.17,38.4,78.0,3.2617259309837747,3.8125496425734746,0.3967446592065107,5.9678653404743685,Moderate Profitability
Dhanashree Elect,__NA__,Electric Equipment,82.43,64.73,3.91,3.03,11.75,11.75,12.36,2.76,4.69,4.74,12.51,86.56,27.34435346825275,29.042904290429057,1.0501031177969185,22.138107416879794,Low Profitability
Dhani Services,DHANI,Finance & Investments,422.85,389.58,-373.95,-486.56,-241.32,-241.32,-178.58,-6.22,-55.59,-88.44,-5.33,3147.65,8.539966117357164,-23.14411377836238,7.443892633321509,-8.41730177831261,Loss-making
Dhanlaxmi Bank,DHANBANK,Banks - Private Sector,1206.99,1174.86,57.82,92.68,819.02,819.02,819.02,2.29,55.22,4.79,5.53,1041.66,2.7347939328941417,-37.61329305135952,0.8630228916561032,18.0155655482532,Low Profitability
Dhanlaxmi Cotex,__NA__,Finance & Investments,26.41,27.01,2.89,2.65,3.44,3.44,3.53,5.93,4.62,10.94,5.68,34.34,-2.2213994816734592,9.056603773584913,1.3002650511170013,11.882352941176471,Moderate Profitability
Dhanlaxmi Fabric,__NA__,Textiles - Products,19.93,30.13,-7.72,-5.62,-6.41,-6.41,-5.56,-9.0,-35.32,-34.97,-11.29,61.13,-33.85330235645536,37.366548042704615,3.0672353236327146,-7.91839378238342,Loss-making
Dhanuka Agritech,DHANUKA,Pesticides / Agrochemicals - Indian,1758.54,1761.46,239.09,245.38,321.85,321.85,362.41,52.46,18.62,13.6,27.07,7582.16,-0.1657715758518543,-2.563371097888985,4.3116221410943165,31.712576853904388,Moderate Profitability
Dhanvantri Jeev.,__NA__,Healthcare,20.47,19.99,0.17,0.24,0.26,0.26,1.13,0.41,4.1,0.83,2.77,8.75,2.4012006003001525,-29.166666666666657,0.42745481191988277,51.470588235294116,Low Profitability
Dharani Finance,__NA__,Finance & Investments,0.74,0.96,-0.3,-0.12,-0.28,-0.28,-0.18,-0.6,-31.08,-40.54,-3.28,3.58,-22.916666666666664,150.0,4.837837837837838,-11.933333333333334,Loss-making
Dharmaj Crop,DHARMAJ,Pesticides / Agrochemicals - Indian,654.1,606.82,44.38,46.52,60.93,60.93,66.37,13.13,9.62,6.78,14.42,876.7,7.791437329026725,-4.600171969045572,1.3403149365540437,19.754393871113113,Moderate Profitability
Dharni Capital,__NA__,Finance & Investments,8.2,,2.92,,3.92,3.92,4.06,1.43,36.59,35.61,27.61,88.41,,,10.781707317073172,30.277397260273972,High Profitability
