Name,NSE Code,Industry,Sales,Sales preceding 12months,Net profit,Net profit preceding 12months,EBIT,EBIT last year,EBIDT last year,EPS,OPM,NPM last year,Return on capital employed,Market Capitalization,Profitability Category
Aadi Industries,__NA__,Plastics Products,0.0,0.0,-0.09,-0.2,-0.1,-0.1,-0.09,-0.09,,,-40.82,6.99,Unknown
Aakash Explor.,AAKASH,Oil Drilling / Allied Services,92.23,81.05,6.21,3.77,10.16,10.16,17.71,0.61,18.56,6.73,13.27,143.37,Moderate Profitability
Aananda Lakshmi,__NA__,Construction,2.1,2.03,4.08,11.18,5.94,5.94,5.94,11.66,86.19,282.86,207.33,5.1,High Profitability
Aanchal Ispat,__NA__,Steel - Medium / Small,109.35,117.75,-6.25,-24.04,-4.03,-4.03,-3.4,-3.0,-3.15,-5.72,-3.93,12.8,Loss-making
Aarey Drugs,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,395.62,348.15,4.68,4.22,7.04,7.04,11.42,1.84,1.13,1.18,4.44,115.88,Low Profitability
Aarnav Fashions,__NA__,Textiles - Products,356.49,368.19,5.62,-2.02,19.74,19.74,27.44,1.33,7.62,1.58,6.71,200.64,Low Profitability
Aaron Industries,AARON,Engineering,63.23,60.2,6.33,5.67,9.84,9.84,11.26,6.04,17.59,10.01,19.83,274.76,Moderate Profitability
Aartech Solonics,AARTECH,Electric Equipment,32.74,25.6,1.32,1.46,3.05,3.05,3.62,1.23,1.44,4.03,9.37,215.21,Low Profitability
Aarti Drugs,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,2528.58,2651.0,171.59,180.46,269.05,269.05,320.5,18.65,12.52,6.79,14.75,4848.63,Moderate Profitability
Aarti Industries,AARTIIND,Chemicals,6372.0,6256.0,416.0,434.0,606.0,606.0,984.0,11.48,15.3,6.53,7.41,25154.18,Moderate Profitability
Aarti Pharma,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,1852.61,1831.91,216.9,194.52,317.7,317.7,390.94,23.93,20.84,11.71,16.65,5490.12,Moderate Profitability
Aarti Surfactant,AARTISURF,Chemicals,589.86,589.15,22.27,21.38,47.16,47.16,63.14,26.33,10.68,3.78,14.37,579.37,Low Profitability
Aarvee Denims,AARVEEDEN,Textiles - Cotton/Blended,84.73,110.65,-44.62,-53.6,-36.32,-36.32,-24.61,-19.02,-36.85,-52.66,-9.65,65.73,Loss-making
Aarvi Encon,AARVI,Miscellaneous,406.15,409.34,11.34,11.76,13.57,13.57,14.84,7.67,3.08,2.79,11.41,205.64,Low Profitability
Aashka Hospitals,__NA__,Healthcare,22.87,,2.36,,5.75,5.75,8.67,1.01,19.46,10.32,4.67,273.54,Moderate Profitability
AastamangalamFin,__NA__,Finance & Investments,7.03,5.97,3.6,2.35,6.41,6.41,6.43,4.04,91.47,51.21,9.32,39.02,High Profitability
Aatmaj Health,AATMAJ,Healthcare,15.74,,0.88,,2.59,2.59,3.4,0.39,16.2,5.59,10.01,59.33,Moderate Profitability
AAVAS Financiers,AAVAS,Finance - Housing,2017.5,1920.98,490.69,474.83,1452.81,1452.81,1485.47,62.0,73.49,24.32,9.91,14769.84,High Profitability
Aayush Food&Herb,__NA__,Trading,0.6,1.69,0.57,0.1,0.59,0.59,0.59,1.76,58.33,95.0,12.65,98.64,High Profitability
AB Cotspin,ABCOTS,Textiles - Cotton/Blended,255.77,,6.7,,17.79,17.79,27.64,6.51,10.34,2.62,12.65,266.57,Low Profitability
Aban Offshore,ABAN,Oil Drilling / Allied Services,399.67,335.15,-1317.84,-1358.34,-203.49,-203.49,-106.35,-225.79,-38.64,-329.73,,382.47,Loss-making
ABans Enterprise,__NA__,Trading,1770.84,1548.58,9.75,12.72,33.04,33.04,34.73,6.65,1.7,0.55,10.71,188.32,Low Profitability
Abans Holdings,AHL,Finance & Investments,1378.34,1689.38,89.24,90.65,151.38,151.38,152.01,16.3,10.88,6.47,9.2,2378.67,Moderate Profitability
